Point Number,RTC,RPM,Inj PW,Duty Cycle,CL Comp,Target AFR,AFR,Air Temp Enr,Coolant Enr,Coolant AFR Offset,Afterstart Enr,Current Learn,CL Status,Learn Status,Fuel Economy,Fuel Flow,MAP RoC,TPS RoC,Tuning Change,Estimated VE,Main Rev Limit,Rev Limit #1,Launch Retard,Ignition Timing,Knock Retard,Knock Level,Spark Pad2,IAC Position,Target Idle Speed,MAP,TPS,MAT,CTS,Baro,Battery,Oil Pressure,Fuel Pressure,Pedal Position,AC Kick,Fan #1,Fan #2,#2 Fuel Pump,AC Shutdown,TCC Lockup,Sensor Warning,Sensor Caution,Base Fuel lb/hr,Base Fuel VE,Base Timing,Base Target AFR,Base Ign Dwell,Vol Comp Ign Dwell,Inj End Angle,ECU Log Trigger,Timing vs Air,Timing vs Cool,Status 1,Status 2,Status 3,Status 4,Status 5,Status 6,Status 7,Status 8,Inj Driver #1 PPH,Inj Driver #2 PPH,Inj Driver #3 PPH,Inj Driver #4 PPH,Inj Driver #5 PPH,Inj Driver #6 PPH,Inj Driver #7 PPH,Inj Driver #8 PPH,Inj Driver #1 PW,Inj Driver #2 PW,Inj Driver #3 PW,Inj Driver #4 PW,Inj Driver #5 PW,Inj Driver #6 PW,Inj Driver #7 PW,Inj Driver #8 PW,Cyl #1 Fuel Cor,Cyl #2 Fuel Cor,Cyl #3 Fuel Cor,Cyl #4 Fuel Cor,Cyl #5 Fuel Cor,Cyl #6 Fuel Cor,Cyl #7 Fuel Cor,Cyl #8 Fuel Cor,Cyl #1 Timing Cor,Cyl #2 Timing Cor,Cyl #3 Timing Cor,Cyl #4 Timing Cor,Cyl #5 Timing Cor,Cyl #6 Timing Cor,Cyl #7 Timing Cor,Cyl #8 Timing Cor,DI Target FP,Boost PSIG,Staging Input #1,Staging Input #2,Staging Output,System Pad2,System Pad3,System Pad4,Boost Gear,Boost,Boost Speed,Boost Time,Target Boost,Trans Brake,Boost Scramble +,Boost Scramble -,Manual Boost Reset,Boost Solenoid Duty,Boost Safety,Boost Master Enbl,Boost Man Shift Inp,Boost Fill Sol DC,Boost Vent Sol DC,N2O Stage 1,GPO 1,N2O Enabled,N2O Input #1,N2O Lean Cutoff,N2O Rich Cutoff,N2O RPM Cutoff,N2O MAP Cutoff,N2O Dry Fuel #1,N2O Tmg Mod #1,N2O Timer #1,N20 Pad1,N20 Pad2,N20 Pad3,N20 Pad4,Gear,Speed,Line Pressure,Input Shaft Speed,Accum Pressure,TCC Duty Cycle,Line Temp,Trans Man US Input,Trans Man DS Input,Trans Auto/Man In,Trans Range Pos,Trans Pad 2,TB TPS #1,TB TPS #2,Pedal TPS #1,Pedal TPS #2,TB Position,Brake Pedal,DBW Pad2,Diag #1,Diag #2,Diag #3,Diag #4,Diag #5,Diag #6,Diag #7,Diag #8,Diag #9,Diag #10,Diag #11,Diag #12,Diag #13,Diag #14,Diag #15,Diag #16,Diag #17,Diag #18,Diag #19,Diag #20,AT Launch Input,AT Manual Reset,AT Gear,,,,,,,,,,,Input #1,Input #2,Input #3,Input #4,Input #5,Input #6,Input #7,Input #8,Input #9,Input #10,Input #11,Input #12,Input #13,Input #14,Input #15,Input #16,Input #17,Input #18,Input #19,Input #20,Output #1,Output #2,Output #3,Output #4,Output #5,Output #6,Output #7,Output #8,Output #9,Output #10,Output #11,Output #12,Output #13,Output #14,Output #15,Output #16,Output #17,Output #18,Output #19,Output #20
154,4.461000,884.631653,2.221913,1.186334,1.296022,13.799999,13.874995,98.599777,100.000000,0.000000,100.000000,-21.035658,1.000000,1.000000,0.000000,6.103349,0.000000,0.000000,0.000000,49.907810,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000,26.731865,700.000000,44.424747,11.883896,134.002014,198.947723,102.785286,14.101493,29.461575,42.608391,4.286056,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.786931,62.161312,12.000000,13.799999,4.500000,4.403789,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.770851,0.770851,0.770851,0.773833,0.773833,0.773833,0.773833,0.773833,2.237728,2.237728,2.237728,2.237728,2.237728,2.237728,2.237728,2.237728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.396942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.396942,0.000000,815.228088,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,26.427025,112.263939,0.000000,0.000000,181.096451,0.000000,0.000000,0.000000,1.000000,0.000000,3.922281,1.067386,1.137970,0.535919,11.890942,0.000000,0.000000,1000000.000000,0.000000,209.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
155,4.484000,888.625793,2.248360,1.213268,1.287368,13.799999,13.862624,98.599083,100.000000,0.000000,100.000000,-21.057890,1.000000,1.000000,0.000000,6.261239,0.000000,0.000000,0.000000,50.324074,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000,26.970200,700.000000,45.150867,11.906977,134.015442,198.952408,102.799637,14.074342,29.478682,42.611534,4.295744,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.002723,62.566406,12.000000,13.799999,4.500000,4.412285,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.786231,0.786231,0.786231,0.786231,0.786231,0.786231,0.786231,0.786231,2.250868,2.250868,2.242451,2.242451,2.242451,2.242451,2.242451,2.242451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.405274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.405274,0.000000,815.252258,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,26.273726,115.491043,0.000000,0.000000,181.044525,0.000000,0.000000,0.000000,1.000000,0.000000,3.920415,1.067518,1.143085,0.535424,11.921419,0.000000,0.000000,1000000.000000,0.000000,209.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
156,4.507000,892.451538,2.259233,1.227146,1.194747,13.799999,13.783135,98.598473,100.000000,0.000000,100.000000,-21.071949,1.000000,1.000000,0.000000,6.314684,0.000000,0.000000,0.000000,49.846035,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000,27.188673,700.000000,45.165226,11.947887,134.011993,198.928894,102.791260,14.079039,29.600260,42.605961,4.360598,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.980590,62.551460,12.000000,13.799999,4.500000,4.407102,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.786779,0.786779,0.786779,0.786779,0.789405,0.789405,0.789405,0.789405,2.253437,2.253437,2.253437,2.253437,2.253437,2.253437,2.253437,2.253437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.326351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.326351,0.000000,815.274414,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,26.099781,116.688744,0.000000,0.000000,180.997330,0.000000,0.000000,0.000000,1.000000,0.000000,3.919428,1.068445,1.144718,0.536986,11.944405,0.000000,0.000000,1000000.000000,0.000000,210.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
157,4.531000,897.617432,2.253100,1.228869,1.304242,13.799999,13.876524,98.600510,100.000000,0.000000,100.000000,-21.083597,1.000000,1.000000,0.000000,6.341752,0.000000,0.000000,0.000000,50.138119,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000,27.427008,700.000000,45.175697,11.941486,133.995041,198.933594,102.816803,14.092504,29.619772,42.597778,4.394655,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.107218,62.820248,12.000000,13.799999,4.500000,4.406598,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.807684,0.807684,0.807684,0.807684,0.807684,0.807684,0.807684,0.807684,2.274605,2.274605,2.273946,2.273946,2.273946,2.273946,2.273946,2.273946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.329258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.329258,0.000000,815.296570,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,26.220507,119.662277,0.000000,0.000000,181.096970,0.000000,0.000000,0.000000,1.000000,0.000000,3.916887,1.071578,1.148026,0.537132,11.991302,0.000000,0.000000,1000000.000000,0.000000,210.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
158,4.646000,940.802124,2.287754,1.322762,0.000000,13.799999,13.861053,98.600296,100.000000,0.000000,100.000000,-22.252693,0.000000,0.000000,0.000000,6.826302,0.000000,0.000000,0.000000,49.934029,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000,28.559097,700.000000,45.971409,13.328903,134.003906,198.951279,102.791321,14.085216,29.916519,42.600655,6.158197,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.864922,64.467842,12.000000,13.799999,4.500000,4.408878,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.844405,0.844405,0.844405,0.842883,0.842883,0.842883,0.842883,0.842883,2.279460,2.279460,2.279460,2.279460,2.279460,2.279460,2.279460,2.279460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.257433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.257433,0.000000,815.413391,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,25.842909,135.332581,0.000000,0.000000,181.011810,0.000000,0.000000,0.000000,1.000000,0.000000,3.859794,1.131155,1.209810,0.570233,13.613771,0.000000,0.000000,1000000.000000,0.000000,211.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
159,4.669000,948.449341,2.287754,1.322762,0.000000,13.799999,13.861053,98.600296,100.000000,0.000000,100.000000,-22.841467,0.000000,0.000000,0.000000,6.826302,0.000000,0.000000,0.000000,49.934029,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000,28.797432,700.000000,46.281471,13.750402,133.996262,198.948349,102.791534,14.104786,30.107462,42.583817,6.453615,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.975187,64.704956,12.000000,13.799999,4.500000,4.402761,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.850981,0.850981,0.850981,0.850981,0.850981,0.850981,0.850981,0.850981,2.282153,2.282153,2.288794,2.288794,2.288794,2.288794,2.288794,2.288794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.148554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.148554,0.000000,815.435547,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,25.419744,138.912598,0.000000,0.000000,181.112152,0.000000,0.000000,0.000000,1.000000,0.000000,3.847889,1.142363,1.208281,0.570500,13.929201,0.000000,0.000000,1000000.000000,0.000000,211.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
160,4.691000,965.058838,2.317386,1.332831,0.000000,13.799999,13.996696,98.600754,100.000000,0.000000,100.000000,-23.157055,0.000000,0.000000,0.000000,6.897138,0.000000,0.000000,0.000000,50.417042,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000,29.015905,700.000000,46.617298,14.062147,133.991806,198.916336,102.785042,14.102311,30.244791,42.584007,6.490039,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.364674,65.477242,12.000000,13.799999,4.500000,4.403534,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.881241,0.881241,0.881241,0.880549,0.880549,0.880549,0.880549,0.880549,2.311712,2.311712,2.311712,2.311712,2.311712,2.311712,2.311712,2.311712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.132925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.132925,0.000000,815.459717,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,25.416546,143.485535,0.000000,0.000000,181.073227,0.000000,0.000000,0.000000,1.000000,0.000000,3.841114,1.151422,1.211772,0.570331,14.145155,0.000000,0.000000,1000000.000000,0.000000,211.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
161,4.713000,970.661133,2.317386,1.382881,0.000000,13.799999,14.042900,98.600365,100.000000,0.000000,100.000000,-24.073866,0.000000,0.000000,0.046313,7.136553,0.000000,0.000000,0.000000,50.626015,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000,29.254240,700.000000,47.098553,14.147055,133.997131,198.906082,102.771393,14.121542,30.468924,42.575855,6.523630,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.485929,65.769417,12.000000,13.799999,4.500000,4.402029,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.886404,0.886404,0.886404,0.886404,0.886404,0.886404,0.886404,0.886404,2.307906,2.307906,2.313591,2.313591,2.313591,2.313591,2.313591,2.313591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.055205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.055205,0.000000,815.483887,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.053277,25.070301,148.347229,0.000000,0.000000,181.108810,0.000000,0.000000,0.000000,1.000000,0.000000,3.838875,1.151816,1.212557,0.569571,14.181598,0.000000,0.000000,1000000.000000,0.000000,211.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
162,4.737000,974.351990,2.311379,1.387326,0.000000,13.799999,14.116585,98.601555,100.000000,0.000000,100.000000,-24.292231,0.000000,0.000000,0.046137,7.184911,0.000000,0.000000,0.000000,50.903969,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000,29.472713,700.000000,47.243420,14.198208,133.980103,198.910202,102.789833,14.137307,30.464441,42.592697,6.556936,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.821383,66.320122,12.000000,13.799999,4.500000,4.392633,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.909975,0.909975,0.909975,0.909975,0.908684,0.908684,0.908684,0.908684,2.331130,2.331130,2.331130,2.331130,2.331130,2.331130,2.331130,2.331130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.035001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.035001,0.000000,815.506042,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.053277,25.030962,151.958969,0.000000,0.000000,181.060974,0.000000,0.000000,0.000000,1.000000,0.000000,3.837115,1.153869,1.214688,0.571369,14.233194,0.000000,0.000000,1000000.000000,0.000000,211.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
163,4.761000,978.655640,2.342207,1.417153,0.000000,13.799999,13.938425,98.601280,100.000000,0.000000,100.000000,-24.671289,0.000000,0.000000,0.045166,7.313416,0.000000,0.000000,0.000000,50.385830,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000,29.711048,700.000000,47.811169,14.239309,133.984009,198.910187,102.803177,14.135642,30.529219,42.600578,6.577827,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.824734,66.304283,12.000000,13.799999,4.500000,4.393150,-120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.909522,0.909522,0.909522,0.909522,0.909522,0.909522,0.909522,0.909522,2.333515,2.333515,2.339171,2.339171,2.339171,2.339171,2.339171,2.339171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.947686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.947686,0.000000,815.528198,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,0.000000,1.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.053277,24.672018,154.262238,0.000000,0.000000,181.037857,0.000000,0.000000,0.000000,1.000000,0.000000,3.836550,1.155224,1.217985,0.571686,14.267324,0.000000,0.000000,1000000.000000,0.000000,212.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1000001.000000,1000001.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
